createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal,Scores,Count,mavg,truescore
12/8/2020 5:45,spidershot,12,9mm,0,,73.39449,85,67,83,57,69,80,77,69,619.8587732,595.5620516,579.4573142,608.4652968,705.461404,556.6798307,526.3940948,607.610321,752.2262192,96,109,1.3354305,80,33132,1,33132,33.132
12/8/2020 5:46,spidershot,12,9mm,0,,74.46808,93,55,87,81,65,60,87,79,502.3203812,460.4348951,562.1179626,472.0154563,407.6652107,449.1436983,739.8672434,457.3660983,526.1168132,120,141,1.75274456,105,43198,2,38165,38.165
12/8/2020 5:48,spidershot,12,9mm,0,,76.59575,88,72,71,80,62,81,78,80,483.1760964,415.5422607,420.5325066,472.4242439,408.1526923,522.4603846,508.649509,571.8178624,579.3538799,124,141,1.80273509,108,45962,3,40764,40.764
12/8/2020 5:49,spidershot,12,9mm,0,,67.6691742,67,92,57,71,81,56,55,68,547.3404701,414.1615814,392.3527888,485.3270424,408.4318895,652.4207275,862.5232513,736.6585592,630.8478317,110,133,1.50234473,90,35497,4,41552.33333,41.55233333
12/8/2020 5:50,spidershot,12,9mm,0,,69.38776,75,79,72,70,81,62,63,59,499.5477609,414.864224,439.3047398,459.2895005,448.5688507,508.6880676,557.9884466,626.734659,588.1990422,120,147,1.70268989,102,40106,5,40521.66667,40.52166667
12/9/2020 3:05,spidershot,12,9mm,0,,78.37838,93,73,88,79,67,83,67,82,463.5064366,392.9679581,425.5989719,410.6925372,503.9412469,479.8913708,474.6434065,593.9804312,469.1019156,130,148,1.93637741,116,49430,6,41677.66667,41.67766667
12/9/2020 3:07,spidershot,12,9mm,0,,80.7947,78,88,94,71,71,89,75,83,438.793438,412.6788438,395.8731588,426.3195919,447.2688802,451.5347973,425.4517253,466.9703369,486.1262868,136,151,2.036488,122,53416,7,47650.66667,47.65066667
12/9/2020 3:08,spidershot,12,9mm,0,,76.69173,93,71,77,71,81,75,58,82,511.8777707,382.0082052,459.8384928,591.7757182,420.141677,511.3668823,663.4107691,617.2929077,490.9829865,118,133,1.70262456,102,44245,8,49030.33333,49.03033333
12/9/2020 3:10,spidershot,12,9mm,0,,78.8079453,88,71,67,79,86,88,70,88,453.5677233,413.2679201,416.5930767,460.1710171,397.927553,442.6930021,499.2368755,560.9552634,460.9072591,132,151,1.9864043,119,51633,9,49764.66667,49.76466667
12/9/2020 3:11,spidershot,12,9mm,0,,83.10811,88,83,81,74,89,81,81,88,440.2240354,431.9842194,431.0564919,480.2562292,416.9001143,432.0078413,458.9442749,439.4778931,434.6190414,136,148,2.05323648,123,54693,10,50190.33333,50.19033333
12/10/2020 1:53,spidershot,12,9mm,0,,74.64789,67,68,100,68,82,78,69,68,473.4384441,397.9298668,414.6926216,377.2081927,468.3542355,559.3178168,588.6094004,517.6224474,500.7745732,126,142,1.76937449,106,45166,11,50497.33333,50.49733333
12/10/2020 1:54,spidershot,12,9mm,0,,82.51748,88,80,82,74,82,90,92,75,440.6988186,448.9144374,388.6776581,446.3245256,426.8445892,436.5039049,448.243927,466.7512166,469.0979832,136,143,1.96981382,118,53397,12,51085.33333,51.08533333
12/10/2020 1:56,spidershot,12,9mm,0,,80.57554,82,72,72,83,76,94,74,93,477.0735112,406.3592987,415.1336472,472.57189,438.3069153,519.3556213,488.6040548,671.5593966,448.8913715,126,139,1.8695724,112,49768,13,49443.66667,49.44366667
12/11/2020 2:38,spidershot,12,9mm,0,,75.86207,89,78,78,71,79,50,87,76,468.2116548,390.9774594,487.7062174,425.9503302,455.02379,494.1277242,572.3305382,467.2622406,494.8719025,128,145,1.83611083,110,47165,14,50110,50.11
12/11/2020 2:41,spidershot,12,9mm,0,,78.26087,76,67,87,78,94,68,73,83,482.6040381,407.3668325,468.3405209,412.2012863,378.6236155,556.8930827,556.2062847,628.9295936,543.0962031,124,138,1.80282664,108,46960,15,47964.33333,47.96433333
12/12/2020 1:32,spidershot,12,9mm,0,,81.8181839,81,76,90,88,71,74,93,83,463.0242558,424.8741237,402.7898356,447.6867963,432.3760122,503.7835927,531.5858042,461.7945322,479.1795146,130,143,1.95301914,117,50819,16,48314.66667,48.31466667
12/12/2020 21:13,spidershot,12,9mm,0,,84.50704,95,100,75,88,65,95,75,88,446.3001133,404.1681061,414.8632584,455.8810874,378.7060909,505.7958069,468.9068319,454.1473287,467.9396142,134,142,2.00310946,120,53421,17,50400,50.4
12/12/2020 21:14,spidershot,12,9mm,0,,82.31293,78,88,94,82,75,72,75,100,446.8239853,447.406995,427.4967163,406.6718233,380.1026097,530.0340118,457.9048941,500.0149747,464.0726749,134,147,2.019784,121,53376,18,52538.66667,52.53866667
12/12/2020 21:15,spidershot,12,9mm,0,,79.0540543,84,77,79,83,65,83,79,83,447.3508464,409.3526049,420.3754937,457.6301575,415.0398,464.7996652,515.3633474,467.7936096,456.7485335,134,148,1.95308423,117,50029,19,52275.33333,52.27533333
12/14/2020 1:42,spidershot,12,9mm,0,,84.72222,82,89,100,95,82,72,72,82,440.8834832,404.3460083,488.7691363,399.5257906,392.4277126,485.465389,446.3337969,476.5187225,467.1925158,136,144,2.03647923,122,55898,20,53101,53.101
12/14/2020 1:43,spidershot,12,9mm,0,,84.35374,84,90,89,94,89,78,69,78,439.2578605,441.4985464,399.4267086,422.1313742,380.8232947,453.0371902,525.743297,476.2231064,454.6906209,136,147,2.069928,124,55695,21,53874,53.874
